"BasinID","Tree.ID","X.Ally","Y.Ally","Elevation.Ally","Total.Height.Ally","Height.To.Crown.Base.Ally","Max.Crown.Diameter.Ally","Min.Crown.Diameter.Ally","Crown.Rotation.Ally","R.Ally","G.Ally","B.Ally","DBH.Ally","Lean.Angle.From.Vertical.Ally","Lean.Azimuth.Ally","Status.Code.Ally","TopX.Ally","TopY.Ally","X.Bob","Y.Bob","Elevation.Bob","Total.Height.Bob","Height.To.Crown.Base.Bob","Max.Crown.Diameter.Bob","Min.Crown.Diameter.Bob","Crown.Rotation.Bob","R.Bob","G.Bob","B.Bob","DBH.Bob","Lean.Angle.From.Vertical.Bob","Lean.Azimuth.Bob","Status.Code.Bob","TopX.Bob","TopY.Bob","diffX","diffY","diffTopX","diffTopY","diff","diffTop","PlotID","Study","Year","Plot_Number","Plot_Name","Tag_Num","Species","DBH_cm","LiDAR_visible","Distance","Azimuth","Anomaly_Num","Anomaly1","Anomaly2","Anomaly3","Bear_damage_percent","Note","Xfield","Yfield","hanusHt","fvsHt","origdiffX.Ally","origdiffY.Ally","origdiff.Ally","origdiffX.Bob","origdiffY.Bob","origdiff.Bob","heightdiff","TopX","TopY","Distance_m","Xlidar","Ylidar","Elevation","Height_m","CBH_m","MinCrownDia_m","MaxCrownDia_m","rotation","R","G","B","DataFile.x","FileTitle","Total.return.count","Return.1.count","Return.2.count","Return.3.count","Return.4.count","Return.5.count","Return.6.count","Return.7.count","Return.8.count","Return.9.count","Other.return.count","Elev.minimum","Elev.maximum","Elev.mean","Elev.mode","Elev.stddev","Elev.variance","Elev.CV","Elev.IQ","Elev.skewness","Elev.kurtosis","Elev.AAD","Elev.MAD.median","Elev.MAD.mode","Elev.L1","Elev.L2","Elev.L3","Elev.L4","Elev.L.CV","Elev.L.skewness","Elev.L.kurtosis","Elev.P01","Elev.P05","Elev.P10","Elev.P20","Elev.P25","Elev.P30","Elev.P40","Elev.P50","Elev.P60","Elev.P70","Elev.P75","Elev.P80","Elev.P90","Elev.P95","Elev.P99","Canopy.relief.ratio","Elev.SQRT.mean.SQ","Elev.CURT.mean.CUBE","Int.minimum","Int.maximum","Int.mean","Int.mode","Int.stddev","Int.variance","Int.CV","Int.IQ","Int.skewness","Int.kurtosis","Int.AAD","Int.L1","Int.L2","Int.L3","Int.L4","Int.L.CV","Int.L.skewness","Int.L.kurtosis","Int.P01","Int.P05","Int.P10","Int.P20","Int.P25","Int.P30","Int.P40","Int.P50","Int.P60","Int.P70","Int.P75","Int.P80","Int.P90","Int.P95","Int.P99","Profile.area","GridHighX","GridHighY","PolyArea","GridMaxHt","DataFile.y","Points","High.point.X","High.point.Y","High.point.elevation","GroundElev"
161,"07_30_PSME",412799.0855,5280105.1595,186.547295,38.608647,23.165188,6.056868,6.056868,0,244,120,50,0.687,0.707322,224.404961,0,412798.752000182,5280104.81900018,412798.879559,5280105.144505,-32767,38.632763,23.179658,6.056868,6.056868,0,244,120,50,0.687,0.54613,216.107451,0,412798.662558823,5280104.84700475,0.205940999963786,0.0149950003251433,0.0894413592177443,-0.0280045727267861,0.206486187191384,0.0937230645696534,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",30,"PSME",68.7,"Y",9.4,315,0,0,NA,NA,NA,NA,412799.673196257,5280104.61680374,45.4417272974084,37.8554280031298,-0.587696256989148,0.542696259915829,0.799941323476718,-0.793637256952934,0.527701259590685,0.953062807477751,0.0241159999999994,412798.707279503,5280104.83300247,0.0468614126280855,412798.752,5280104.819,0,38.630912,13.186705,7.48056668916937,7.48056668916937,0,255,127,0,"H:\T3_DroneLidar\Ba\Plot 7\Processing\TreeTops_normalized\trees_Clip_0000161.lda","trees_Clip_0000161",1112,1077,35,0,0,0,0,0,0,0,0,0,3,0.96503,0.190476,0.758152,0.574795,0.785626,1.312252,0.59125,2.254134,0.638306,0.611496,0.672027,0.96503,0.426215,0.07233,0.005907,0.44166,0.169703,0.013859,0.009223,0.0701,0.126007,0.220001,0.259747,0.313004,0.5836,0.862503,1.049798,1.270699,1.571999,1.800995,2.047504,2.404352,2.712903,0.321677,1.227013,1.412595,140,249,185.539568,176.333333,18.859332,355.674401,0.101646,32,0.305289,2.219633,16.009769,185.539568,10.709316,0.811818,0.378709,0.05772,0.075805,0.035363,153,159,166,166,172,172,178,185,185,198,204,204,210,217,230,34.524875,412798.5,5280104.5,43.95,37.82,"H:\T3_DroneLidar\Ba\Plot 7\Processing\Trees\TAOpts\trees_Clip_0000161.lda",59316,412798.752,5280104.819,225.153,186.522088
252,"07_4_PSME",412794.3285,5280094.837,179.232925,37.515505,22.509303,5.807024,5.807024,0,244,120,50,0.638,0.775291,226.875916,0,412793.958000059,5280094.49000006,412794.432059,5280095.043505,-32767,37.36867,22.421202,5.807024,5.807024,0,244,120,50,0.638,1.181471,226.998491,0,412793.868558775,5280094.51800479,-0.103559000010137,-0.206504999659956,0.0894412846537307,-0.0280047347769141,0.231016842173158,0.0937230418330252,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",4,"PSME",63.8,"Y",11.3,254,0,0,NA,NA,NA,NA,412795.457742836,5280094.85529788,43.327948945825,36.293902642948,-1.12924283597386,-0.0182978799566627,1.12939107266225,-1.02568383596372,0.188207119703293,1.04280834829045,0.146834999999996,412793.913279417,5280094.50400242,0.0468614812043288,412793.958,5280094.49,0,37.630121,16.433216,5.90542387388883,5.90542387388883,0,255,127,0,"H:\T3_DroneLidar\Ba\Plot 7\Processing\TreeTops_normalized\trees_Clip_0000252.lda","trees_Clip_0000252",2290,2251,39,0,0,0,0,0,0,0,0,0,3,0.636489,0.047619,0.570989,0.326028,0.897092,0.597004,1.19905,3.556116,0.447435,0.276489,0.40189,0.636489,0.301516,0.090817,0.035153,0.473718,0.301201,0.116588,0.010782,0.05191,0.087997,0.167999,0.214504,0.25571,0.339609,0.449509,0.581406,0.718305,0.811508,1.059204,1.63311,1.790554,2.258215,0.212163,0.854988,1.033292,147,249,189.179039,177.761905,18.326568,335.863082,0.096874,26,0.429811,2.541956,15.11782,189.179039,10.310688,1.123866,0.864058,0.054502,0.109,0.083802,153,166,166,172,178,178,178,185,191,198,204,210,217,223,230,27.102055,412794,5280094,27.39,36.62,"H:\T3_DroneLidar\Ba\Plot 7\Processing\Trees\TAOpts\trees_Clip_0000252.lda",34514,412793.958,5280094.49,216.744995,179.114874
495,"07_8_PSME",412792.018,5280105.077,186.62884,35.147769,21.088661,5.29534,5.29534,0,244,120,50,0.545,0.697948,191.861089,0,412791.929999937,5280104.65799971,412791.862459,5280105.204504,-32767,35.026725,21.016035,5.29534,5.29534,0,244,120,50,0.545,0.850381,182.419747,0,412791.840511113,5280104.68512177,0.155540999956429,-0.12750400044024,0.0894888247130439,-0.0271220598369837,0.201122531795198,0.0935085871902833,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",8,"PSME",54.5,"Y",15.4,300,0,0,NA,NA,NA,NA,412792.983208782,5280105.67,39.025206446247,33.0958718818541,-0.965208781999536,-0.593000000342727,1.13281816425034,-1.12074978195596,-0.465495999902487,1.21357595546367,0.121043999999998,412791.885255525,5280104.67156074,0.0467542692548464,412791.93,5280104.658,0,35.300778,8.826822,7.57780334051735,7.57780334051735,0,255,127,0,"H:\T3_DroneLidar\Ba\Plot 7\Processing\TreeTops_normalized\trees_Clip_0000495.lda","trees_Clip_0000495",2874,2760,114,0,0,0,0,0,0,0,0,0.000992,3,0.842772,0.477025,0.5973,0.356767,0.708733,0.86776,0.873014,3.052035,0.492858,0.349991,0.303001,0.842772,0.328685,0.068604,0.030952,0.390005,0.208724,0.094169,0.013,0.095993,0.192299,0.3526,0.403992,0.457993,0.548996,0.649994,0.797803,1.125992,1.271751,1.397003,1.677394,2.079402,2.437968,0.280686,1.032912,1.190261,140,255,192.137091,183.809524,16.722443,279.640093,0.087034,26,0.475349,2.745944,13.777644,192.137091,9.368671,1.046459,0.77926,0.04876,0.111698,0.083177,159,172,172,178,178,185,185,191,191,204,204,210,217,223,230,33.503607,412792,5280104,45.1,34.72,"H:\T3_DroneLidar\Ba\Plot 7\Processing\Trees\TAOpts\trees_Clip_0000495.lda",54464,412791.93,5280104.658,221.774002,186.473224
509,"07_29_TSHE",412806.6415,5280093.2795,181.484111,35.107615,21.064569,5.712666,5.712666,0,244,120,50,0.574,1.278075,197.578816,0,412806.405000052,5280092.53300019,412806.531059,5280093.409504,-32767,35.124787,21.074872,5.712666,5.712666,0,244,120,50,0.574,2.157072,176.786831,0,412806.605162101,5280092.08951649,0.110441000026185,-0.130003999918699,-0.200162048044149,0.443483700044453,0.170582104810689,0.486562059435738,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",29,"TSHE",57.4,"Y",4.9,170,0,0,NA,NA,NA,NA,412807.170876071,5280093.14444201,42.5839735648891,35.7041596279609,-0.529376070946455,0.135057990439236,0.54633294360874,-0.63981707097264,0.265061990357935,0.692548729722695,0.0171719999999951,412806.505081077,5280092.31125834,0.613729139443153,412806.75,5280092.874,0,35.069855,8.815305,6.45152700663901,6.45152700663901,0,255,127,0,"H:\T3_DroneLidar\Ba\Plot 7\Processing\TreeTops_normalized\trees_Clip_0000509.lda","trees_Clip_0000509",2515,2484,31,0,0,0,0,0,0,0,0,0,3,0.891636,0.761905,0.680735,0.4634,0.763468,0.573006,1.177297,3.612792,0.513651,0.274002,0.295901,0.891636,0.357974,0.095861,0.064222,0.401481,0.267788,0.179404,0.006012,0.054706,0.180008,0.380005,0.457504,0.524203,0.630609,0.715012,0.800003,0.890808,1.03051,1.373803,2.104004,2.320804,2.843002,0.297212,1.121709,1.323661,147,255,198.456461,189.857143,18.615376,346.532213,0.093801,25,0.258589,2.531438,15.01051,198.456461,10.529133,0.650438,1.039645,0.053055,0.061775,0.09874,159,172,172,185,185,191,191,198,204,204,210,217,223,230,236,30.350539,412806.5,5280092.5,32.69,34.39,"H:\T3_DroneLidar\Ba\Plot 7\Processing\Trees\TAOpts\trees_Clip_0000509.lda",45362,412806.75,5280092.874,216.582993,181.513138
676,"07_31_PSME",412808.9765,5280106.773,187.744919,33.401859,20.041116,4.251877,4.251877,0,244,120,50,0.383,2.020704,236.444857,0,412807.994999964,5280106.12199998,412808.895559,5280106.953505,-32767,33.300197,19.980119,4.251877,4.251877,0,244,120,50,0.383,2.194882,230.919216,0,412807.905559116,5280106.14950508,0.0809409999637865,-0.180505000054836,0.0894408472813666,-0.0275051072239876,0.197821890901725,0.0935745482800307,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",31,"PSME",38.3,"Y",9,23,0,0,NA,NA,NA,NA,412809.836580156,5280106.25454368,30.3822853598965,26.5742292938011,-0.860080156009644,0.518456320278347,1.00425834863253,-0.941021155973431,0.698961320333183,1.17220635696599,0.101662000000005,412807.95027954,5280106.13575253,0.0467873019576723,412807.995,5280106.122,0,33.484584,15.774384,5.10646118913834,5.10646118913834,0,255,127,0,"H:\T3_DroneLidar\Ba\Plot 7\Processing\TreeTops_normalized\trees_Clip_0000676.lda","trees_Clip_0000676",3696,3592,103,1,0,0,0,0,0,0,0,0,3,1.05285,0.571429,0.577496,0.333502,0.548508,0.931499,0.38897,2.582938,0.48564,0.442497,0.452003,1.05285,0.328122,0.025716,0.018994,0.311651,0.078373,0.057888,0.026942,0.196743,0.354996,0.531998,0.598747,0.661491,0.806992,0.972992,1.178986,1.416992,1.530247,1.607986,1.806992,1.994995,2.567087,0.35095,1.200793,1.319062,147,255,196.673701,189.857143,17.964771,322.733013,0.091343,25,0.303261,2.461524,14.932082,196.673701,10.114754,0.838803,0.819035,0.051429,0.082929,0.080974,159,172,178,185,185,185,191,191,198,210,210,217,223,230,236,39.947817,412808,5280105.5,20.48,33.03,"H:\T3_DroneLidar\Ba\Plot 7\Processing\Trees\TAOpts\trees_Clip_0000676.lda",22889,412807.995,5280106.122,221.126007,187.641423
914,"07_12_PSME",412810.0935,5280110.135,190.357879,31.630849,18.978509,4.113166,4.113166,0,244,120,50,0.364,1.266309,279.46906,0,412809.403999752,5280110.25000004,412810.037659,5280110.374504,-32767,31.690465,19.014279,4.113166,4.113166,0,244,120,50,0.364,1.319166,262.345827,0,412809.314589281,5280110.27732998,0.0558409999939613,-0.239504000172019,0.0894104710314423,-0.0273299366235733,0.245927597838722,0.0934941589935591,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",12,"PSME",36.4,"Y",13,23,0,0,NA,NA,NA,NA,412811.39950467,5280109.9365631,29.2491972673442,25.7072867824231,-1.30600466998294,0.198436900041997,1.32099409586702,-1.3618456699769,0.437940900214016,1.4305299231107,0.0596159999999983,412809.359294517,5280110.26366501,0.046747329308626,412809.404,5280110.25,0,31.152169,11.661179,5.63963862561107,5.63963862561107,0,255,127,0,"H:\T3_DroneLidar\Ba\Plot 7\Processing\TreeTops_normalized\trees_Clip_0000914.lda","trees_Clip_0000914",5210,5045,165,0,0,0,0,0,0,0,0,0,3,1.120454,0.285714,0.715736,0.512278,0.638791,1.212761,0.287224,2.023439,0.622394,0.608994,0.772284,1.120454,0.410073,0.030351,0.004191,0.365988,0.074015,0.010219,0.026993,0.128998,0.220993,0.37999,0.488243,0.585696,0.775598,1.057999,1.362396,1.590299,1.701004,1.810199,2.084991,2.332546,2.71199,0.373485,1.32951,1.478745,147,255,190.564491,184.714286,17.119216,293.067543,0.089834,26,0.685544,2.977423,13.678754,190.564491,9.417683,1.569893,1.138744,0.04942,0.166696,0.120916,159,166,172,178,178,178,185,185,191,198,204,204,217,223,236,40.28118,412809,5280109.5,24.98,31.04,"H:\T3_DroneLidar\Ba\Plot 7\Processing\Trees\TAOpts\trees_Clip_0000914.lda",23474,412809.404,5280110.25,221.981003,190.828834
957,"07_15_TSHE",412814.3745,5280094.131,183.39595,31.478164,18.886898,4.71788,4.71788,0,244,120,50,0.429,0.805643,114.422528,0,412814.77750008,5280093.94799996,412814.306559,5280094.171504,-32767,31.477376,18.886426,4.71788,4.71788,0,244,120,50,0.429,1.324988,124.617986,0,412814.905559017,5280093.75800399,0.0679409999866039,-0.0405040001496673,-0.128058937087189,0.189995975233614,0.0790983786641923,0.229123464474665,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",15,"TSHE",42.9,"Y",9.4,115,0,0,NA,NA,NA,NA,412814.839293198,5280093.99738834,35.6367351903014,29.4867482847575,-0.464793198043481,0.133611660450697,0.483616369404385,-0.532734198030084,0.174115660600364,0.560465867843046,0.000788000000000011,412814.841529549,5280093.85300197,0.196679091587549,412814.995,5280093.73,0,31.505002,4.68092,6.87200514509609,6.87200514509609,0,255,127,0,"H:\T3_DroneLidar\Ba\Plot 7\Processing\TreeTops_normalized\trees_Clip_0000957.lda","trees_Clip_0000957",2006,1937,69,0,0,0,0,0,0,0,0,0.000992,3,0.954069,0.619835,0.701091,0.491528,0.734843,0.846748,1.014208,3.356081,0.548701,0.3825,0.355499,0.954069,0.380073,0.086814,0.052277,0.39837,0.228414,0.137544,0.015991,0.089252,0.181992,0.371002,0.472,0.546997,0.664993,0.766998,0.910004,1.127991,1.318748,1.503998,2.032997,2.593246,2.784603,0.317798,1.183863,1.379273,153,249,193.916251,185,19.503436,380.384005,0.100577,32,0.412064,2.482214,16.248284,193.916251,11.025655,1.066964,0.816657,0.056858,0.096771,0.074069,159,166,172,178,178,185,185,191,198,204,210,210,223,230,236,33.23425,412814.5,5280093.5,37.09,30.68,"H:\T3_DroneLidar\Ba\Plot 7\Processing\Trees\TAOpts\trees_Clip_0000957.lda",52599,412814.995,5280093.73,214.871002,183.366
1365,"07_1_PSME",412801.4325,5280085.535,179.459395,28.095728,16.857436,4.400609,4.400609,0,244,120,50,0.404,2.114327,158.285838,0,412801.815999911,5280084.57200021,412801.344559,5280085.538505,-32767,28.097194,16.858316,4.400609,4.400609,0,244,120,50,0.404,2.067643,157.862733,0,412801.72655905,5280084.5995049,0.0879410000052303,-0.00350499991327524,0.089440860261675,-0.0275046862661839,0.0880108203933583,0.0935744369523519,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",1,"PSME",40.4,"Y",13.5,198,0,0,NA,NA,NA,"Compasses were acting very strangely here",412802.148270576,5280085.13073703,31.6017726910001,27.5038040976615,-0.71577057603281,0.404262970201671,0.822043834956882,-0.80371157603804,0.407767970114946,0.901236381261439,0.00146599999999708,412801.771279481,5280084.58575255,0.0467873653323658,412801.816,5280084.572,0,28.053582,5.628633,6.55237647334688,6.55237647334688,0,255,127,0,"H:\T3_DroneLidar\Ba\Plot 7\Processing\TreeTops_normalized\trees_Clip_0001365.lda","trees_Clip_0001365",1608,1519,84,5,0,0,0,0,0,0,0,0,3,0.810004,0.52381,0.680876,0.463593,0.840584,0.720993,1.217052,3.80664,0.528086,0.306,0.289194,0.810004,0.359912,0.101139,0.053837,0.444334,0.281009,0.149583,0.01001,0.04735,0.104709,0.270407,0.349506,0.416,0.522003,0.605011,0.707202,0.865997,1.070499,1.387805,1.875902,2.191153,2.832238,0.270001,1.058022,1.268515,140,255,191.496269,176.507937,18.974485,360.0311,0.099085,32,0.3885,2.215617,16.403477,191.496269,10.696086,1.161278,0.322462,0.055855,0.10857,0.030148,159,166,172,178,178,178,185,185,191,204,210,210,217,223,230,27.568372,412801.5,5280084.5,33.72,27.02,"H:\T3_DroneLidar\Ba\Plot 7\Processing\Trees\TAOpts\trees_Clip_0001365.lda",33620,412801.816,5280084.572,207.535995,179.482413
243,"08_28_PSME",412578.6735,5280988.0085,274.186706,40.009121,24.005473,6.06184,6.06184,0,244,120,50,0.688,0.793878,310.023928,0,412578.248999739,5280988.36500022,412578.748781,5280988.035552,-32767,39.97082,23.982492,6.06184,6.06184,0,244,120,50,0.688,0.861048,305.171753,0,412578.257781023,5280988.38155199,-0.0752809999976307,-0.0270519992336631,-0.00878128391923383,-0.0165517665445805,0.0799939974196901,0.0187369133801832,8,"T3",2021,8,"08_B_Alt-2_EVDP",28,"PSME",68.8,"Y",14.3,125,0,0,NA,NA,NA,NA,412579.875324233,5280988.90670696,45.4838680158608,37.8865001842322,-1.20182423305232,-0.898206959478557,1.50038569348268,-1.12654323305469,-0.871154960244894,1.42408237848117,0.038300999999997,412578.253390381,5280988.3732761,0.00936852920580987,412578.249,5280988.365,0,40.073186,24.415192,6.55626166578631,6.55626166578631,0,255,127,0,"H:\T3_DroneLidar\Ba\Plots 8,9,36,46\Processing\TreeTops_normalized\trees_Clip_0000243.lda","trees_Clip_0000243",3662,3519,143,0,0,0,0,0,0,0,0,0,3,0.863109,0.142857,0.671738,0.451231,0.778277,0.998993,0.793873,2.788664,0.552724,0.464996,0.571163,0.863109,0.373085,0.074162,0.022141,0.432257,0.198781,0.059346,0.021622,0.070007,0.126108,0.226013,0.281006,0.357318,0.541418,0.71402,0.930023,1.095001,1.279999,1.502826,1.84191,2.219752,2.587747,0.287703,1.093648,1.270666,128,249,178.240579,170.253968,15.287673,233.712934,0.08577,19,0.729158,3.712286,11.627759,178.240579,8.322098,1.174538,1.370766,0.04669,0.141135,0.164714,147,159,159,166,166,172,172,178,178,185,185,191,198,210,223,32.307128,412578,5280988.5,33.76,39.4,"H:\T3_DroneLidar\Ba\Plots 8,9,36,46\Processing\Trees\TAOpts\trees_Clip_0000243.lda",66840,412578.249,5280988.365,314.191986,274.1188
270,"08_30_PSME",412562.6885,5280993.599,267.234857,39.967415,23.980449,5.905387,5.905387,0,244,120,50,0.657,0.60932,312.473183,0,412562.374999864,5280993.88600013,412563.078781,5280993.349553,-32767,39.845731,23.907439,5.905387,5.905387,0,244,120,50,0.657,1.277231,308.508686,0,412562.383781265,5280993.9025528,-0.390280999999959,0.249447000212967,-0.0087814008584246,-0.016552671790123,0.463187936885468,0.0187377678614042,8,"T3",2021,8,"08_B_Alt-2_EVDP",30,"PSME",65.7,"Y",7,225,0,0,NA,NA,NA,NA,412563.211702532,5280992.15910253,44.1591841020494,36.9086671361307,-0.523202532029245,1.43989747017622,1.53200705420755,-0.132921532029286,1.19045046996325,1.19784826047072,0.121684000000002,412562.379390564,5280993.89427646,0.00936893204395466,412562.375,5280993.886,0,40.055291,21.427277,8.18600007570313,8.18600007570313,0,255,127,0,"H:\T3_DroneLidar\Ba\Plots 8,9,36,46\Processing\TreeTops_normalized\trees_Clip_0000270.lda","trees_Clip_0000270",3619,3464,154,1,0,0,0,0,0,0,0,0,3,0.853397,0.095238,0.642718,0.413087,0.753129,0.94249,0.662764,2.73977,0.527974,0.509003,0.743751,0.853397,0.360013,0.05531,0.019675,0.421859,0.153633,0.054651,0.012175,0.059897,0.108002,0.209991,0.261993,0.338385,0.550189,0.838989,0.983978,1.112586,1.204483,1.373577,1.772174,2.103296,2.461945,0.284466,1.068298,1.228645,140,255,185.038132,183.809524,14.763126,217.9499,0.079784,13,0.609894,4.095766,10.959906,185.038132,8.02155,0.714024,1.41449,0.043351,0.089013,0.176336,153,166,166,172,178,178,178,185,185,191,191,191,204,210,223,33.585823,412562,5280994,52.63,39.29,"H:\T3_DroneLidar\Ba\Plots 8,9,36,46\Processing\Trees\TAOpts\trees_Clip_0000270.lda",81606,412562.375,5280993.886,307.200012,267.144721
