"Tree.ID","X.Ally","Y.Ally","Elevation.Ally","Total.Height.Ally","Height.To.Crown.Base.Ally","Max.Crown.Diameter.Ally","Min.Crown.Diameter.Ally","Crown.Rotation.Ally","R.Ally","G.Ally","B.Ally","DBH.Ally","Lean.Angle.From.Vertical.Ally","Lean.Azimuth.Ally","Status.Code.Ally","TopX.Ally","TopY.Ally","X.Bob","Y.Bob","Elevation.Bob","Total.Height.Bob","Height.To.Crown.Base.Bob","Max.Crown.Diameter.Bob","Min.Crown.Diameter.Bob","Crown.Rotation.Bob","R.Bob","G.Bob","B.Bob","DBH.Bob","Lean.Angle.From.Vertical.Bob","Lean.Azimuth.Bob","Status.Code.Bob","TopX.Bob","TopY.Bob","diffX","diffY","diffTopX","diffTopY","diff","diffTop","PlotID","Study","Year","Plot_Number","Plot_Name","Tag_Num","Species","DBH_cm","LiDAR_visible","Distance","Azimuth","Anomaly_Num","Anomaly1","Anomaly2","Anomaly3","Bear_damage_percent","Note","Xfield","Yfield","hanusHt","fvsHt","origdiffX.Ally","origdiffY.Ally","origdiff.Ally","origdiffX.Bob","origdiffY.Bob","origdiff.Bob","heightdiff"
"07_1_PSME",412801.4325,5280085.535,179.459395,28.095728,16.857436,4.400609,4.400609,0,244,120,50,0.404,2.114327,158.285838,0,412801.815999911,5280084.57200021,412801.344559,5280085.538505,-32767,28.097194,16.858316,4.400609,4.400609,0,244,120,50,0.404,2.067643,157.862733,0,412801.72655905,5280084.5995049,0.0879410000052303,-0.00350499991327524,0.089440860261675,-0.0275046862661839,0.0880108203933583,0.0935744369523519,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",1,"PSME",40.4,"Y",13.5,198,0,0,NA,NA,NA,"Compasses were acting very strangely here",412802.148270576,5280085.13073703,31.6017726910001,27.5038040976615,-0.71577057603281,0.404262970201671,0.822043834956882,-0.80371157603804,0.407767970114946,0.901236381261439,0.00146599999999708
"07_12_PSME",412810.0935,5280110.135,190.357879,31.630849,18.978509,4.113166,4.113166,0,244,120,50,0.364,1.266309,279.46906,0,412809.403999752,5280110.25000004,412810.037659,5280110.374504,-32767,31.690465,19.014279,4.113166,4.113166,0,244,120,50,0.364,1.319166,262.345827,0,412809.314589281,5280110.27732998,0.0558409999939613,-0.239504000172019,0.0894104710314423,-0.0273299366235733,0.245927597838722,0.0934941589935591,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",12,"PSME",36.4,"Y",13,23,0,0,NA,NA,NA,NA,412811.39950467,5280109.9365631,29.2491972673442,25.7072867824231,-1.30600466998294,0.198436900041997,1.32099409586702,-1.3618456699769,0.437940900214016,1.4305299231107,0.0596159999999983
"07_15_TSHE",412814.3745,5280094.131,183.39595,31.478164,18.886898,4.71788,4.71788,0,244,120,50,0.429,0.805643,114.422528,0,412814.77750008,5280093.94799996,412814.306559,5280094.171504,-32767,31.477376,18.886426,4.71788,4.71788,0,244,120,50,0.429,1.324988,124.617986,0,412814.905559017,5280093.75800399,0.0679409999866039,-0.0405040001496673,-0.128058937087189,0.189995975233614,0.0790983786641923,0.229123464474665,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",15,"TSHE",42.9,"Y",9.4,115,0,0,NA,NA,NA,NA,412814.839293198,5280093.99738834,35.6367351903014,29.4867482847575,-0.464793198043481,0.133611660450697,0.483616369404385,-0.532734198030084,0.174115660600364,0.560465867843046,0.000788000000000011
"07_21_TSHE",412814.554688,5280086.814431,180.665439,19.675166,11.805099,2.408969,2.408969,0,244,120,50,0.185,4.751262,118.712522,0,412815.983999489,5280086.03149976,412815.627359,5280085.957505,-32767,20.755572,12.453343,2.408969,2.408969,0,244,120,50,0.185,0.119695,21.10511,0,412815.642972015,5280085.99795633,-1.07267099997262,0.856925999745727,0.341027474147268,0.0335434274747968,1.37293308038756,0.342673167391353,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",21,"TSHE",18.5,"Y",15,138,0,0,NA,NA,NA,NA,412816.356959095,5280086.82282762,19.1209142694992,15.0560551810587,-1.8022710949881,-0.00839662086218596,1.80229065443716,-0.729600095015485,-0.865322620607913,1.13185667660811,1.080406
"07_29_TSHE",412806.6415,5280093.2795,181.484111,35.107615,21.064569,5.712666,5.712666,0,244,120,50,0.574,1.278075,197.578816,0,412806.405000052,5280092.53300019,412806.531059,5280093.409504,-32767,35.124787,21.074872,5.712666,5.712666,0,244,120,50,0.574,2.157072,176.786831,0,412806.605162101,5280092.08951649,0.110441000026185,-0.130003999918699,-0.200162048044149,0.443483700044453,0.170582104810689,0.486562059435738,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",29,"TSHE",57.4,"Y",4.9,170,0,0,NA,NA,NA,NA,412807.170876071,5280093.14444201,42.5839735648891,35.7041596279609,-0.529376070946455,0.135057990439236,0.54633294360874,-0.63981707097264,0.265061990357935,0.692548729722695,0.0171719999999951
"07_30_PSME",412799.0855,5280105.1595,186.547295,38.608647,23.165188,6.056868,6.056868,0,244,120,50,0.687,0.707322,224.404961,0,412798.752000182,5280104.81900018,412798.879559,5280105.144505,-32767,38.632763,23.179658,6.056868,6.056868,0,244,120,50,0.687,0.54613,216.107451,0,412798.662558823,5280104.84700475,0.205940999963786,0.0149950003251433,0.0894413592177443,-0.0280045727267861,0.206486187191384,0.0937230645696534,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",30,"PSME",68.7,"Y",9.4,315,0,0,NA,NA,NA,NA,412799.673196257,5280104.61680374,45.4417272974084,37.8554280031298,-0.587696256989148,0.542696259915829,0.799941323476718,-0.793637256952934,0.527701259590685,0.953062807477751,0.0241159999999994
"07_31_PSME",412808.9765,5280106.773,187.744919,33.401859,20.041116,4.251877,4.251877,0,244,120,50,0.383,2.020704,236.444857,0,412807.994999964,5280106.12199998,412808.895559,5280106.953505,-32767,33.300197,19.980119,4.251877,4.251877,0,244,120,50,0.383,2.194882,230.919216,0,412807.905559116,5280106.14950508,0.0809409999637865,-0.180505000054836,0.0894408472813666,-0.0275051072239876,0.197821890901725,0.0935745482800307,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",31,"PSME",38.3,"Y",9,23,0,0,NA,NA,NA,NA,412809.836580156,5280106.25454368,30.3822853598965,26.5742292938011,-0.860080156009644,0.518456320278347,1.00425834863253,-0.941021155973431,0.698961320333183,1.17220635696599,0.101662000000005
"07_4_PSME",412794.3285,5280094.837,179.232925,37.515505,22.509303,5.807024,5.807024,0,244,120,50,0.638,0.775291,226.875916,0,412793.958000059,5280094.49000006,412794.432059,5280095.043505,-32767,37.36867,22.421202,5.807024,5.807024,0,244,120,50,0.638,1.181471,226.998491,0,412793.868558775,5280094.51800479,-0.103559000010137,-0.206504999659956,0.0894412846537307,-0.0280047347769141,0.231016842173158,0.0937230418330252,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",4,"PSME",63.8,"Y",11.3,254,0,0,NA,NA,NA,NA,412795.457742836,5280094.85529788,43.327948945825,36.293902642948,-1.12924283597386,-0.0182978799566627,1.12939107266225,-1.02568383596372,0.188207119703293,1.04280834829045,0.146834999999996
"07_8_PSME",412792.018,5280105.077,186.62884,35.147769,21.088661,5.29534,5.29534,0,244,120,50,0.545,0.697948,191.861089,0,412791.929999937,5280104.65799971,412791.862459,5280105.204504,-32767,35.026725,21.016035,5.29534,5.29534,0,244,120,50,0.545,0.850381,182.419747,0,412791.840511113,5280104.68512177,0.155540999956429,-0.12750400044024,0.0894888247130439,-0.0271220598369837,0.201122531795198,0.0935085871902833,7,"T3",2021,7,"07_B-Alt-2_EVDP_1",8,"PSME",54.5,"Y",15.4,300,0,0,NA,NA,NA,NA,412792.983208782,5280105.67,39.025206446247,33.0958718818541,-0.965208781999536,-0.593000000342727,1.13281816425034,-1.12074978195596,-0.465495999902487,1.21357595546367,0.121043999999998
"08_1_PSME",412551.549,5280995.3125,262.6649,36.453034,21.87182,5.069964,5.069964,0,244,120,50,0.507,2.715685,336.88635,0,412550.87099998,5280996.90100004,412551.432281,5280996.402553,-32767,36.608054,21.964832,5.069964,5.069964,0,244,120,50,0.507,1.182752,313.015827,0,412550.879780826,5280996.91805315,0.116718999983277,-1.09005299955606,-0.00878084532450885,-0.0170531189069152,1.09628411773512,0.0191810351406366,8,"T3",2021,8,"08_B_Alt-2_EVDP",1,"PSME",50.7,"Y",16.5,264,0,0,NA,NA,NA,NA,412551.751838726,5280995.38413036,37.1423715777328,31.6872736848608,-0.202838725992478,-0.0716303596273065,0.215114985955393,-0.319557725975756,1.01842263992876,1.0673808194596,0.15502
