"Plot_Number","Tag_Num","Tree.ID","X.Ally","Y.Ally","Elevation.Ally","Total.Height.Ally","Height.To.Crown.Base.Ally","Max.Crown.Diameter.Ally","Min.Crown.Diameter.Ally","Crown.Rotation.Ally","R.Ally","G.Ally","B.Ally","DBH.Ally","Lean.Angle.From.Vertical.Ally","Lean.Azimuth.Ally","Status.Code.Ally","TopX.Ally","TopY.Ally","X.Bob","Y.Bob","Elevation.Bob","Total.Height.Bob","Height.To.Crown.Base.Bob","Max.Crown.Diameter.Bob","Min.Crown.Diameter.Bob","Crown.Rotation.Bob","R.Bob","G.Bob","B.Bob","DBH.Bob","Lean.Angle.From.Vertical.Bob","Lean.Azimuth.Bob","Status.Code.Bob","TopX.Bob","TopY.Bob","diffX","diffY","diffTopX","diffTopY","diff","diffTop","PlotID","Study","Year","Plot_Name","Species","DBH_cm","LiDAR_visible","Distance","Azimuth","Anomaly_Num","Anomaly1","Anomaly2","Anomaly3","Bear_damage_percent","Note","Xfield","Yfield","hanusHt","fvsHt","origdiffX.Ally","origdiffY.Ally","origdiff.Ally","origdiffX.Bob","origdiffY.Bob","origdiff.Bob","heightdiff","aveBaseX","aveBaseY","aveBaseElevation","aveHeight","aveTopX","aveTopY","topElevation","aveCrownDia","DataFile","FileTitle","Total.return.count","Return.1.count","Return.2.count","Return.3.count","Return.4.count","Return.5.count","Return.6.count","Return.7.count","Return.8.count","Return.9.count","Other.return.count","Elev.minimum","Elev.maximum","Elev.mean","Elev.mode","Elev.stddev","Elev.variance","Elev.CV","Elev.IQ","Elev.skewness","Elev.kurtosis","Elev.AAD","Elev.MAD.median","Elev.MAD.mode","Elev.L1","Elev.L2","Elev.L3","Elev.L4","Elev.L.CV","Elev.L.skewness","Elev.L.kurtosis","Elev.P01","Elev.P05","Elev.P10","Elev.P20","Elev.P25","Elev.P30","Elev.P40","Elev.P50","Elev.P60","Elev.P70","Elev.P75","Elev.P80","Elev.P90","Elev.P95","Elev.P99","Canopy.relief.ratio","Elev.SQRT.mean.SQ","Elev.CURT.mean.CUBE","Int.minimum","Int.maximum","Int.mean","Int.mode","Int.stddev","Int.variance","Int.CV","Int.IQ","Int.skewness","Int.kurtosis","Int.AAD","Int.L1","Int.L2","Int.L3","Int.L4","Int.L.CV","Int.L.skewness","Int.L.kurtosis","Int.P01","Int.P05","Int.P10","Int.P20","Int.P25","Int.P30","Int.P40","Int.P50","Int.P60","Int.P70","Int.P75","Int.P80","Int.P90","Int.P95","Int.P99","Profile.area"
7,1,"07_1_PSME",412801.4325,5280085.535,179.459395,28.095728,16.857436,4.400609,4.400609,0,244,120,50,0.404,2.114327,158.285838,0,412801.815999911,5280084.57200021,412801.344559,5280085.538505,-32767,28.097194,16.858316,4.400609,4.400609,0,244,120,50,0.404,2.067643,157.862733,0,412801.72655905,5280084.5995049,0.0879410000052303,-0.00350499991327524,0.089440860261675,-0.0275046862661839,0.0880108203933583,0.0935744369523519,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",40.4,"Y",13.5,198,0,0,NA,NA,NA,"Compasses were acting very strangely here",412802.148270576,5280085.13073703,31.6017726910001,27.5038040976615,-0.71577057603281,0.404262970201671,0.822043834956882,-0.80371157603804,0.407767970114946,0.901236381261439,0.00146599999999708,412801.3885295,5280085.5367525,179.459395,28.096461,412801.77127948,5280084.58575256,207.555856,4.400609,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_1.las","Plot_7_Tree_1",3204,3013,180,11,0,0,0,0,0,0,0,0,3,0.855448,0.52381,0.704513,0.496338,0.823561,0.9115,1.098115,3.41054,0.564629,0.34,0.30419,0.855448,0.377291,0.101003,0.046322,0.441045,0.267706,0.122774,0.01,0.052,0.12,0.2936,0.3635,0.427,0.532,0.626,0.7378,1.001601,1.275,1.506,1.918,2.37,2.846,0.285149,1.10814,1.316794,140,255,191.675094,176.507937,18.660605,348.218162,0.097355,32,0.386388,2.260194,16.090358,191.675094,10.523989,1.121608,0.347303,0.054905,0.106576,0.033001,159,166,172,178,178,178,185,185,198,204,210,210,217,223,230,29.020109
7,12,"07_12_PSME",412810.0935,5280110.135,190.357879,31.630849,18.978509,4.113166,4.113166,0,244,120,50,0.364,1.266309,279.46906,0,412809.403999752,5280110.25000004,412810.037659,5280110.374504,-32767,31.690465,19.014279,4.113166,4.113166,0,244,120,50,0.364,1.319166,262.345827,0,412809.314589281,5280110.27732998,0.0558409999939613,-0.239504000172019,0.0894104710314423,-0.0273299366235733,0.245927597838722,0.0934941589935591,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",36.4,"Y",13,23,0,0,NA,NA,NA,NA,412811.39950467,5280109.9365631,29.2491972673442,25.7072867824231,-1.30600466998294,0.198436900041997,1.32099409586702,-1.3618456699769,0.437940900214016,1.4305299231107,0.0596159999999983,412810.0655795,5280110.254752,190.357879,31.660657,412809.359294517,5280110.26366501,222.018536,4.113166,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_12.las","Plot_7_Tree_12",6832,6611,221,0,0,0,0,0,0,0,0,0.003,3,1.467417,1.715571,0.677735,0.459325,0.461856,0.9865,-0.291047,2.278598,0.559975,0.432,0.430428,1.467417,0.385333,-0.031212,0.029496,0.262593,-0.080999,0.076546,0.09531,0.23755,0.4916,0.7222,0.962,1.189,1.373,1.585,1.739,1.882,1.9485,2.038,2.2838,2.5049,2.771,0.488628,1.616345,1.720286,147,255,191.498829,184.714286,16.929781,286.617478,0.088407,26,0.855109,3.161374,13.462543,191.498829,9.169011,1.935401,1.232046,0.04788,0.211081,0.134371,166,172,172,178,178,185,185,185,191,198,204,204,217,223,236,51.93689
7,15,"07_15_TSHE",412814.3745,5280094.131,183.39595,31.478164,18.886898,4.71788,4.71788,0,244,120,50,0.429,0.805643,114.422528,0,412814.77750008,5280093.94799996,412814.306559,5280094.171504,-32767,31.477376,18.886426,4.71788,4.71788,0,244,120,50,0.429,1.324988,124.617986,0,412814.905559017,5280093.75800399,0.0679409999866039,-0.0405040001496673,-0.128058937087189,0.189995975233614,0.0790983786641923,0.229123464474665,7,"T3",2021,"07_B-Alt-2_EVDP_1","TSHE",42.9,"Y",9.4,115,0,0,NA,NA,NA,NA,412814.839293198,5280093.99738834,35.6367351903014,29.4867482847575,-0.464793198043481,0.133611660450697,0.483616369404385,-0.532734198030084,0.174115660600364,0.560465867843046,0.000788000000000011,412814.3405295,5280094.151252,183.39595,31.47777,412814.841529549,5280093.85300197,214.87372,4.71788,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_15.las","Plot_7_Tree_15",3956,3813,143,0,0,0,0,0,0,0,0,0.001,3,1.008152,0.619841,0.721551,0.520636,0.715717,0.91625,0.920029,3.037898,0.580303,0.403,0.366159,1.008152,0.394545,0.086993,0.046214,0.391355,0.22049,0.117133,0.016,0.1,0.214,0.424,0.508,0.5745,0.679,0.791,0.952,1.25,1.42425,1.594,2.131,2.6285,2.788,0.335829,1.239707,1.433289,153,249,194.345551,185,18.998534,360.944281,0.097756,32,0.446008,2.553839,15.759159,194.345551,10.709474,1.112805,0.873487,0.055105,0.103908,0.081562,159,166,172,178,178,185,185,191,198,204,210,210,223,230,236,35.139221
7,29,"07_29_TSHE",412806.6415,5280093.2795,181.484111,35.107615,21.064569,5.712666,5.712666,0,244,120,50,0.574,1.278075,197.578816,0,412806.405000052,5280092.53300019,412806.531059,5280093.409504,-32767,35.124787,21.074872,5.712666,5.712666,0,244,120,50,0.574,2.157072,176.786831,0,412806.605162101,5280092.08951649,0.110441000026185,-0.130003999918699,-0.200162048044149,0.443483700044453,0.170582104810689,0.486562059435738,7,"T3",2021,"07_B-Alt-2_EVDP_1","TSHE",57.4,"Y",4.9,170,0,0,NA,NA,NA,NA,412807.170876071,5280093.14444201,42.5839735648891,35.7041596279609,-0.529376070946455,0.135057990439236,0.54633294360874,-0.63981707097264,0.265061990357935,0.692548729722695,0.0171719999999951,412806.5862795,5280093.344502,181.484111,35.116201,412806.505081077,5280092.31125834,216.600312,5.712666,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_29.las","Plot_7_Tree_29",4871,4793,78,0,0,0,0,0,0,0,0,0,3,0.938533,0.666667,0.704029,0.495656,0.750138,0.736,1.086947,3.216239,0.553507,0.305,0.284333,0.938533,0.374404,0.101393,0.053228,0.398925,0.270813,0.142168,0.019,0.121,0.24,0.391,0.459,0.524,0.632,0.721,0.824,0.975,1.195,1.568,2.153,2.365,2.861799,0.312844,1.1732,1.375281,153,255,199.348183,190.238095,18.121071,328.373199,0.090902,25,0.263743,2.588065,14.580488,199.348183,10.226319,0.638114,1.095825,0.051299,0.062399,0.107157,166,172,178,185,185,191,191,198,204,210,210,217,223,230,242,31.775435
7,30,"07_30_PSME",412799.0855,5280105.1595,186.547295,38.608647,23.165188,6.056868,6.056868,0,244,120,50,0.687,0.707322,224.404961,0,412798.752000182,5280104.81900018,412798.879559,5280105.144505,-32767,38.632763,23.179658,6.056868,6.056868,0,244,120,50,0.687,0.54613,216.107451,0,412798.662558823,5280104.84700475,0.205940999963786,0.0149950003251433,0.0894413592177443,-0.0280045727267861,0.206486187191384,0.0937230645696534,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",68.7,"Y",9.4,315,0,0,NA,NA,NA,NA,412799.673196257,5280104.61680374,45.4417272974084,37.8554280031298,-0.587696256989148,0.542696259915829,0.799941323476718,-0.793637256952934,0.527701259590685,0.953062807477751,0.0241159999999994,412798.9825295,5280105.1520025,186.547295,38.620705,412798.707279503,5280104.83300246,225.168,6.056868,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_30.las","Plot_7_Tree_30",3579,3470,109,0,0,0,0,0,0,0,0,0,3,0.988013,0.190476,0.723141,0.522933,0.731914,1.281,0.550875,2.298039,0.604927,0.595,0.689524,0.988013,0.408587,0.059512,0.011927,0.413544,0.145654,0.029192,0.016,0.09,0.14,0.2526,0.315,0.417,0.6878,0.88,1.0564,1.2996,1.596,1.775,1.998,2.3141,2.69722,0.329338,1.224319,1.396297,140,242,185.637049,177.238095,18.897102,357.100483,0.101796,32,0.296825,2.150247,16.135401,185.637049,10.725372,0.83173,0.353664,0.057776,0.077548,0.032975,153,159,166,166,172,172,178,185,185,198,204,204,210,217,230,35.596661
7,31,"07_31_PSME",412808.9765,5280106.773,187.744919,33.401859,20.041116,4.251877,4.251877,0,244,120,50,0.383,2.020704,236.444857,0,412807.994999964,5280106.12199998,412808.895559,5280106.953505,-32767,33.300197,19.980119,4.251877,4.251877,0,244,120,50,0.383,2.194882,230.919216,0,412807.905559116,5280106.14950508,0.0809409999637865,-0.180505000054836,0.0894408472813666,-0.0275051072239876,0.197821890901725,0.0935745482800307,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",38.3,"Y",9,23,0,0,NA,NA,NA,NA,412809.836580156,5280106.25454368,30.3822853598965,26.5742292938011,-0.860080156009644,0.518456320278347,1.00425834863253,-0.941021155973431,0.698961320333183,1.17220635696599,0.101662000000005,412808.9360295,5280106.8632525,187.744919,33.351028,412807.95027954,5280106.13575253,221.095947,4.251877,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_31.las","Plot_7_Tree_31",7188,6954,234,0,0,0,0,0,0,0,0,0.003,3,1.173275,1.572857,0.589154,0.347102,0.502145,1.019,0.120265,2.222682,0.509233,0.501,0.487857,1.173275,0.336625,0.002683,0.006557,0.286911,0.00797,0.019478,0.091,0.31,0.413,0.56,0.629,0.7411,0.965,1.18,1.439,1.596,1.648,1.712,1.8753,2.029,2.651,0.390482,1.31287,1.419664,147,255,197.169866,189.857143,17.756095,315.278919,0.090055,25,0.359084,2.491128,14.719293,197.169866,9.966108,0.99046,0.856235,0.050546,0.099383,0.085915,159,172,178,185,185,185,191,191,198,204,210,217,223,230,236,43.220735
7,4,"07_4_PSME",412794.3285,5280094.837,179.232925,37.515505,22.509303,5.807024,5.807024,0,244,120,50,0.638,0.775291,226.875916,0,412793.958000059,5280094.49000006,412794.432059,5280095.043505,-32767,37.36867,22.421202,5.807024,5.807024,0,244,120,50,0.638,1.181471,226.998491,0,412793.868558775,5280094.51800479,-0.103559000010137,-0.206504999659956,0.0894412846537307,-0.0280047347769141,0.231016842173158,0.0937230418330252,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",63.8,"Y",11.3,254,0,0,NA,NA,NA,NA,412795.457742836,5280094.85529788,43.327948945825,36.293902642948,-1.12924283597386,-0.0182978799566627,1.12939107266225,-1.02568383596372,0.188207119703293,1.04280834829045,0.146834999999996,412794.3802795,5280094.9402525,179.232925,37.4420875,412793.913279417,5280094.50400242,216.6750125,5.807024,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_4.las","Plot_7_Tree_4",3998,3915,83,0,0,0,0,0,0,0,0,0,3,0.780495,0.047619,0.611586,0.374038,0.783588,0.971,0.721322,2.605529,0.500532,0.4415,0.636381,0.780495,0.340899,0.062855,0.016374,0.436773,0.18438,0.048032,0.009,0.045,0.0897,0.2,0.255,0.306,0.499,0.684,0.801,0.959,1.226,1.445,1.722,1.84115,2.34439,0.260165,0.991523,1.148772,147,242,189.943222,177.15873,18.417408,339.200929,0.096963,26,0.436722,2.462023,15.383496,189.943222,10.379365,1.167183,0.726946,0.054645,0.112452,0.070038,159,166,172,172,178,178,185,185,191,198,204,210,217,223,230,32.227728
7,8,"07_8_PSME",412792.018,5280105.077,186.62884,35.147769,21.088661,5.29534,5.29534,0,244,120,50,0.545,0.697948,191.861089,0,412791.929999937,5280104.65799971,412791.862459,5280105.204504,-32767,35.026725,21.016035,5.29534,5.29534,0,244,120,50,0.545,0.850381,182.419747,0,412791.840511113,5280104.68512177,0.155540999956429,-0.12750400044024,0.0894888247130439,-0.0271220598369837,0.201122531795198,0.0935085871902833,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",54.5,"Y",15.4,300,0,0,NA,NA,NA,NA,412792.983208782,5280105.67,39.025206446247,33.0958718818541,-0.965208781999536,-0.593000000342727,1.13281816425034,-1.12074978195596,-0.465495999902487,1.21357595546367,0.121043999999998,412791.9402295,5280105.140752,186.62884,35.087247,412791.885255525,5280104.67156074,221.716087,5.29534,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_8.las","Plot_7_Tree_8",5072,4874,198,0,0,0,0,0,0,0,0,0.002,3,0.955172,0.477873,0.609786,0.371839,0.638404,0.919,0.675739,2.637133,0.518722,0.406,0.357127,0.955172,0.340954,0.057375,0.020784,0.356956,0.168278,0.060959,0.031,0.163,0.292,0.426,0.483,0.518,0.618,0.755,1.0752,1.302,1.402,1.483,1.822,2.17745,2.465,0.317936,1.133189,1.278531,147,255,192.306388,184.714286,16.906601,285.833144,0.087915,26,0.568811,2.847155,13.930247,192.306388,9.42923,1.238111,0.811537,0.049032,0.131306,0.086066,159,172,172,178,178,185,185,191,191,204,204,210,217,223,236,37.701328
8,11,"08_11_PSME",412578.2985,5280983.417,274.862494,38.30606,22.983636,4.69798,4.69798,0,244,120,50,0.448,0.663506,320.442497,0,412578.015999818,5280983.75900022,412578.326781,5280983.484552,-32767,38.302627,22.981577,4.69798,4.69798,0,244,120,50,0.448,0.62788,313.986448,0,412578.024780856,5280983.77605214,-0.0282810000353493,-0.0675519993528724,-0.00878103758441284,-0.0170519137755036,0.0732331043966449,0.0191800517326227,8,"T3",2021,"08_B_Alt-2_EVDP","PSME",44.8,"Y",17.3,143,0,0,NA,NA,NA,NA,412578.572849901,5280983.29245568,34.0531852992178,29.3623734207101,-0.274349901010282,0.124544320628047,0.301295794834667,-0.246068900974933,0.192096319980919,0.31217126737934,0.00343300000000113,412578.3126405,5280983.450776,274.862494,38.3043435,412578.020390337,5280983.76752618,313.1668375,4.69798,"D:\T3_DroneLidar\Ba\Plots 8,9,36,46\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_8_Tree_11.las","Plot_8_Tree_11",3460,3293,167,0,0,0,0,0,0,0,0,0,3,0.989716,0.047619,0.751235,0.564354,0.759041,1.31625,0.52359,2.104471,0.653591,0.5685,0.762881,0.989716,0.424678,0.065051,0.001755,0.42909,0.153178,0.004133,0.01,0.06095,0.1339,0.2658,0.331,0.3997,0.552,0.8105,1.1468,1.451,1.64725,1.754,2.129601,2.3131,2.73741,0.329905,1.242469,1.420539,134,242,182.745087,176.857143,15.792665,249.408259,0.086419,19,0.710834,3.665309,12.174543,182.745087,8.572421,1.225233,1.471798,0.046909,0.142927,0.17169,153,159,166,172,172,172,178,178,185,185,191,191,204,217,223,35.127994
8,16,"08_16_TSHE",412558.209,5280989.143,266.67567,36.170796,21.702478,6.241178,6.241178,0,244,120,50,0.664,0.899329,299.31927,0,412557.714000018,5280989.42099998,412558.264681,5280989.352552,-32767,36.163962,21.698377,6.241178,6.241178,0,244,120,50,0.664,0.869151,278.95395,0,412557.72279614,5280989.43793174,-0.0556809999980032,-0.209552000276744,-0.00879612198332325,-0.016931751742959,0.216823464091787,0.0190802510211658,8,"T3",2021,"08_B_Alt-2_EVDP","TSHE",66.4,"Y",12.9,225,0,0,NA,NA,NA,NA,412559.039772523,5280987.98717252,46.2514081308099,39.0073620828973,-0.830772523011547,1.15582748036832,1.42341847303087,-0.775091523013543,1.36537948064506,1.57004076227786,0.00683400000000489,412558.2368405,5280989.247776,266.67567,36.167379,412557.718398079,5280989.42946586,302.843049,6.241178,"D:\T3_DroneLidar\Ba\Plots 8,9,36,46\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_8_Tree_16.las","Plot_8_Tree_16",4742,4353,385,4,0,0,0,0,0,0,0,0,3,0.992037,0.47619,0.643905,0.414613,0.649073,0.90975,0.624658,2.820837,0.526298,0.447,0.451809,0.992037,0.362292,0.04852,0.029671,0.3652,0.133925,0.081898,0.02,0.10405,0.21,0.406,0.483,0.5603,0.718,0.904,1.0826,1.284,1.39275,1.549,1.902,2.216851,2.813437,0.330679,1.182651,1.33452,147,255,191.618726,189.857143,14.623364,213.842788,0.076315,13,0.357588,4.360266,10.680618,191.618726,7.880275,0.228585,1.606734,0.041125,0.029007,0.203893,159,166,172,178,185,185,191,191,191,198,198,198,210,217,236,34.240015
