"Plot_Number","Tag_Num","Tree.ID","X.Ally","Y.Ally","Elevation.Ally","Total.Height.Ally","Height.To.Crown.Base.Ally","Max.Crown.Diameter.Ally","Min.Crown.Diameter.Ally","Crown.Rotation.Ally","R.Ally","G.Ally","B.Ally","DBH.Ally","Lean.Angle.From.Vertical.Ally","Lean.Azimuth.Ally","Status.Code.Ally","TopX.Ally","TopY.Ally","X.Bob","Y.Bob","Elevation.Bob","Total.Height.Bob","Height.To.Crown.Base.Bob","Max.Crown.Diameter.Bob","Min.Crown.Diameter.Bob","Crown.Rotation.Bob","R.Bob","G.Bob","B.Bob","DBH.Bob","Lean.Angle.From.Vertical.Bob","Lean.Azimuth.Bob","Status.Code.Bob","TopX.Bob","TopY.Bob","diffX","diffY","diffTopX","diffTopY","diff","diffTop","PlotID","Study","Year","Plot_Name","Species","DBH_cm","LiDAR_visible","Distance","Azimuth","Anomaly_Num","Anomaly1","Anomaly2","Anomaly3","Bear_damage_percent","Note","Xfield","Yfield","hanusHt","fvsHt","origdiffX.Ally","origdiffY.Ally","origdiff.Ally","origdiffX.Bob","origdiffY.Bob","origdiff.Bob","heightdiff","aveBaseX","aveBaseY","aveBaseElevation","aveHeight","aveTopX","aveTopY","topElevation","aveCrownDia","DataFile","FileTitle","Total.return.count","Return.1.count","Return.2.count","Return.3.count","Return.4.count","Return.5.count","Return.6.count","Return.7.count","Return.8.count","Return.9.count","Other.return.count","Elev.minimum","Elev.maximum","Elev.mean","Elev.mode","Elev.stddev","Elev.variance","Elev.CV","Elev.IQ","Elev.skewness","Elev.kurtosis","Elev.AAD","Elev.MAD.median","Elev.MAD.mode","Elev.L1","Elev.L2","Elev.L3","Elev.L4","Elev.L.CV","Elev.L.skewness","Elev.L.kurtosis","Elev.P01","Elev.P05","Elev.P10","Elev.P20","Elev.P25","Elev.P30","Elev.P40","Elev.P50","Elev.P60","Elev.P70","Elev.P75","Elev.P80","Elev.P90","Elev.P95","Elev.P99","Canopy.relief.ratio","Elev.SQRT.mean.SQ","Elev.CURT.mean.CUBE","Int.minimum","Int.maximum","Int.mean","Int.mode","Int.stddev","Int.variance","Int.CV","Int.IQ","Int.skewness","Int.kurtosis","Int.AAD","Int.L1","Int.L2","Int.L3","Int.L4","Int.L.CV","Int.L.skewness","Int.L.kurtosis","Int.P01","Int.P05","Int.P10","Int.P20","Int.P25","Int.P30","Int.P40","Int.P50","Int.P60","Int.P70","Int.P75","Int.P80","Int.P90","Int.P95","Int.P99","Profile.area"
7,1,"07_1_PSME",412801.4325,5280085.535,179.459395,28.095728,16.857436,4.400609,4.400609,0,244,120,50,0.404,2.114327,158.285838,0,412801.815999911,5280084.57200021,412801.344559,5280085.538505,-32767,28.097194,16.858316,4.400609,4.400609,0,244,120,50,0.404,2.067643,157.862733,0,412801.72655905,5280084.5995049,0.0879410000052303,-0.00350499991327524,0.089440860261675,-0.0275046862661839,0.0880108203933583,0.0935744369523519,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",40.4,"Y",13.5,198,0,0,NA,NA,NA,"Compasses were acting very strangely here",412802.148270576,5280085.13073703,31.6017726910001,27.5038040976615,-0.71577057603281,0.404262970201671,0.822043834956882,-0.80371157603804,0.407767970114946,0.901236381261439,0.00146599999999708,412801.3885295,5280085.5367525,179.459395,28.096461,412801.77127948,5280084.58575256,207.555856,4.400609,"H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_1.las","Plot_7_Tree_1",1415,1328,82,5,0,0,0,0,0,0,0,0,3,0.860487,0.52381,0.703674,0.495157,0.817762,0.906,1.091191,3.395859,0.563997,0.344,0.30219,0.860487,0.377134,0.100326,0.046588,0.43828,0.266022,0.123531,0.01,0.0527,0.12,0.3,0.3735,0.4322,0.5366,0.633,0.743,1.0094,1.2795,1.5182,1.9186,2.3712,2.84502,0.286829,1.111415,1.318933,140,255,191.547703,176.507937,18.870221,356.08524,0.098514,32,0.414357,2.284567,16.24698,191.547703,10.618966,1.218909,0.381713,0.055438,0.114786,0.035946,159,166,172,178,178,178,185,185,191,204,210,210,217,223,230,29.214113
7,12,"07_12_PSME",412810.0935,5280110.135,190.357879,31.630849,18.978509,4.113166,4.113166,0,244,120,50,0.364,1.266309,279.46906,0,412809.403999752,5280110.25000004,412810.037659,5280110.374504,-32767,31.690465,19.014279,4.113166,4.113166,0,244,120,50,0.364,1.319166,262.345827,0,412809.314589281,5280110.27732998,0.0558409999939613,-0.239504000172019,0.0894104710314423,-0.0273299366235733,0.245927597838722,0.0934941589935591,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",36.4,"Y",13,23,0,0,NA,NA,NA,NA,412811.39950467,5280109.9365631,29.2491972673442,25.7072867824231,-1.30600466998294,0.198436900041997,1.32099409586702,-1.3618456699769,0.437940900214016,1.4305299231107,0.0596159999999983,412810.0655795,5280110.254752,190.357879,31.660657,412809.359294517,5280110.26366501,222.018536,4.113166,"H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_12.las","Plot_7_Tree_12",2980,2885,95,0,0,0,0,0,0,0,0,0.003,3,1.457869,1.715571,0.683241,0.466819,0.468658,1.076,-0.277568,2.253172,0.565982,0.441,0.437,1.457869,0.388868,-0.030394,0.028353,0.266738,-0.078159,0.072911,0.08695,0.22395,0.4569,0.715,0.87,1.175,1.3586,1.5695,1.7344,1.8793,1.946,2.038,2.2811,2.49815,2.77305,0.485442,1.609983,1.715773,147,255,191.599329,184.714286,17.292632,299.035112,0.090254,26,0.818742,3.036604,13.870638,191.599329,9.411082,1.939792,1.158494,0.049119,0.206118,0.123099,166,172,172,178,178,178,185,185,191,198,204,210,217,230,236,51.527788
7,15,"07_15_TSHE",412814.3745,5280094.131,183.39595,31.478164,18.886898,4.71788,4.71788,0,244,120,50,0.429,0.805643,114.422528,0,412814.77750008,5280093.94799996,412814.306559,5280094.171504,-32767,31.477376,18.886426,4.71788,4.71788,0,244,120,50,0.429,1.324988,124.617986,0,412814.905559017,5280093.75800399,0.0679409999866039,-0.0405040001496673,-0.128058937087189,0.189995975233614,0.0790983786641923,0.229123464474665,7,"T3",2021,"07_B-Alt-2_EVDP_1","TSHE",42.9,"Y",9.4,115,0,0,NA,NA,NA,NA,412814.839293198,5280093.99738834,35.6367351903014,29.4867482847575,-0.464793198043481,0.133611660450697,0.483616369404385,-0.532734198030084,0.174115660600364,0.560465867843046,0.000788000000000011,412814.3405295,5280094.151252,183.39595,31.47777,412814.841529549,5280093.85300197,214.87372,4.71788,"H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_15.las","Plot_7_Tree_15",1759,1698,61,0,0,0,0,0,0,0,0,0.001,3,1.004217,0.619841,0.721643,0.520769,0.718613,0.9205,0.920724,3.044308,0.580311,0.401,0.366159,1.004217,0.394648,0.087009,0.046413,0.39299,0.220472,0.117607,0.016,0.099,0.2088,0.4226,0.503,0.5708,0.6752,0.785,0.948,1.2448,1.4235,1.5896,2.1142,2.6244,2.78968,0.334517,1.236497,1.430379,153,249,194.81353,185,19.352382,374.514697,0.099338,32,0.420259,2.486594,16.129125,194.81353,10.934409,1.084401,0.830369,0.056128,0.099173,0.075941,159,166,172,178,178,185,185,191,198,204,210,210,223,230,242,34.972804
7,29,"07_29_TSHE",412806.6415,5280093.2795,181.484111,35.107615,21.064569,5.712666,5.712666,0,244,120,50,0.574,1.278075,197.578816,0,412806.405000052,5280092.53300019,412806.531059,5280093.409504,-32767,35.124787,21.074872,5.712666,5.712666,0,244,120,50,0.574,2.157072,176.786831,0,412806.605162101,5280092.08951649,0.110441000026185,-0.130003999918699,-0.200162048044149,0.443483700044453,0.170582104810689,0.486562059435738,7,"T3",2021,"07_B-Alt-2_EVDP_1","TSHE",57.4,"Y",4.9,170,0,0,NA,NA,NA,NA,412807.170876071,5280093.14444201,42.5839735648891,35.7041596279609,-0.529376070946455,0.135057990439236,0.54633294360874,-0.63981707097264,0.265061990357935,0.692548729722695,0.0171719999999951,412806.5862795,5280093.344502,181.484111,35.116201,412806.505081077,5280092.31125834,216.600312,5.712666,"H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_29.las","Plot_7_Tree_29",2170,2141,29,0,0,0,0,0,0,0,0,0,3,0.94802,0.666667,0.705914,0.498314,0.744619,0.78,1.061323,3.153422,0.558181,0.3125,0.288167,0.94802,0.376788,0.100461,0.051621,0.397447,0.266626,0.137002,0.01969,0.1229,0.242,0.395,0.468,0.5287,0.637,0.7275,0.829,0.9976,1.248,1.5782,2.1582,2.36765,2.86186,0.316007,1.181874,1.382394,153,255,199.377419,190.238095,18.368869,337.41535,0.092131,25,0.280518,2.555159,14.807617,199.377419,10.369342,0.703827,1.08154,0.052009,0.067876,0.104302,166,172,178,185,185,191,191,198,204,210,210,217,230,230,242,32.101088
7,30,"07_30_PSME",412799.0855,5280105.1595,186.547295,38.608647,23.165188,6.056868,6.056868,0,244,120,50,0.687,0.707322,224.404961,0,412798.752000182,5280104.81900018,412798.879559,5280105.144505,-32767,38.632763,23.179658,6.056868,6.056868,0,244,120,50,0.687,0.54613,216.107451,0,412798.662558823,5280104.84700475,0.205940999963786,0.0149950003251433,0.0894413592177443,-0.0280045727267861,0.206486187191384,0.0937230645696534,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",68.7,"Y",9.4,315,0,0,NA,NA,NA,NA,412799.673196257,5280104.61680374,45.4417272974084,37.8554280031298,-0.587696256989148,0.542696259915829,0.799941323476718,-0.793637256952934,0.527701259590685,0.953062807477751,0.0241159999999994,412798.9825295,5280105.1520025,186.547295,38.620705,412798.707279503,5280104.83300246,225.168,6.056868,"H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_30.las","Plot_7_Tree_30",1553,1506,47,0,0,0,0,0,0,0,0,0,3,0.980337,0.190476,0.721703,0.520855,0.736178,1.268,0.571135,2.328463,0.60274,0.586,0.680524,0.980337,0.407309,0.061395,0.012592,0.415478,0.150734,0.030914,0.01652,0.0862,0.143,0.252,0.314,0.411,0.6746,0.871,1.044,1.2802,1.582,1.7682,1.9862,2.3122,2.69748,0.326779,1.217202,1.390337,140,242,185.56085,177.238095,18.670441,348.585374,0.100616,32,0.334132,2.195335,15.844899,185.56085,10.58582,0.932988,0.425627,0.057048,0.088136,0.040207,153,159,166,166,172,172,178,185,185,198,204,204,210,217,226.359863,35.299502
7,31,"07_31_PSME",412808.9765,5280106.773,187.744919,33.401859,20.041116,4.251877,4.251877,0,244,120,50,0.383,2.020704,236.444857,0,412807.994999964,5280106.12199998,412808.895559,5280106.953505,-32767,33.300197,19.980119,4.251877,4.251877,0,244,120,50,0.383,2.194882,230.919216,0,412807.905559116,5280106.14950508,0.0809409999637865,-0.180505000054836,0.0894408472813666,-0.0275051072239876,0.197821890901725,0.0935745482800307,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",38.3,"Y",9,23,0,0,NA,NA,NA,NA,412809.836580156,5280106.25454368,30.3822853598965,26.5742292938011,-0.860080156009644,0.518456320278347,1.00425834863253,-0.941021155973431,0.698961320333183,1.17220635696599,0.101662000000005,412808.9360295,5280106.8632525,187.744919,33.351028,412807.95027954,5280106.13575253,221.095947,4.251877,"H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_31.las","Plot_7_Tree_31",3190,3086,104,0,0,0,0,0,0,0,0,0.003,3,1.173392,1.572857,0.590082,0.348197,0.502886,1.018,0.131292,2.237893,0.509522,0.5015,0.493,1.173392,0.337177,0.0037,0.007148,0.287353,0.010973,0.021199,0.08789,0.3129,0.4139,0.5628,0.63,0.742,0.9606,1.179,1.4354,1.593,1.648,1.7132,1.879,2.0361,2.65122,0.390521,1.313369,1.420759,147,255,197.143574,189.857143,17.820419,317.567339,0.090393,25,0.385144,2.528058,14.702617,197.143574,9.985487,1.05635,0.916674,0.050651,0.105789,0.091801,159,172,178,185,185,185,191,191,198,204,210,217,223,230,236,43.213312
7,4,"07_4_PSME",412794.3285,5280094.837,179.232925,37.515505,22.509303,5.807024,5.807024,0,244,120,50,0.638,0.775291,226.875916,0,412793.958000059,5280094.49000006,412794.432059,5280095.043505,-32767,37.36867,22.421202,5.807024,5.807024,0,244,120,50,0.638,1.181471,226.998491,0,412793.868558775,5280094.51800479,-0.103559000010137,-0.206504999659956,0.0894412846537307,-0.0280047347769141,0.231016842173158,0.0937230418330252,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",63.8,"Y",11.3,254,0,0,NA,NA,NA,NA,412795.457742836,5280094.85529788,43.327948945825,36.293902642948,-1.12924283597386,-0.0182978799566627,1.12939107266225,-1.02568383596372,0.188207119703293,1.04280834829045,0.146834999999996,412794.3802795,5280094.9402525,179.232925,37.4420875,412793.913279417,5280094.50400242,216.6750125,5.807024,"H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_4.las","Plot_7_Tree_4",1789,1753,36,0,0,0,0,0,0,0,0,0,3,0.776999,0.047619,0.609989,0.372087,0.785057,0.961,0.736814,2.644086,0.497589,0.435,0.634381,0.776999,0.3396,0.06354,0.017351,0.437066,0.187104,0.051092,0.01076,0.0484,0.0898,0.1976,0.255,0.306,0.499,0.682,0.7988,0.9452,1.216,1.4394,1.7212,1.841,2.34556,0.259,0.987728,1.145499,147,242,189.921744,177.15873,18.36784,337.377541,0.096713,26,0.446279,2.46053,15.306822,189.921744,10.343747,1.20517,0.739902,0.054463,0.116512,0.071531,159,166,172,172,178,178,185,185,191,198,204,210,217,223,230,32.050486
7,8,"07_8_PSME",412792.018,5280105.077,186.62884,35.147769,21.088661,5.29534,5.29534,0,244,120,50,0.545,0.697948,191.861089,0,412791.929999937,5280104.65799971,412791.862459,5280105.204504,-32767,35.026725,21.016035,5.29534,5.29534,0,244,120,50,0.545,0.850381,182.419747,0,412791.840511113,5280104.68512177,0.155540999956429,-0.12750400044024,0.0894888247130439,-0.0271220598369837,0.201122531795198,0.0935085871902833,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",54.5,"Y",15.4,300,0,0,NA,NA,NA,NA,412792.983208782,5280105.67,39.025206446247,33.0958718818541,-0.965208781999536,-0.593000000342727,1.13281816425034,-1.12074978195596,-0.465495999902487,1.21357595546367,0.121043999999998,412791.9402295,5280105.140752,186.62884,35.087247,412791.885255525,5280104.67156074,221.716087,5.29534,"H:\T3_DroneLidar\Ba\Plot7\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_7_Tree_8.las","Plot_7_Tree_8",2262,2172,90,0,0,0,0,0,0,0,0,0.002,3,0.958011,0.477873,0.607504,0.369061,0.63413,0.9135,0.673876,2.660386,0.515854,0.407,0.3595,0.958011,0.339846,0.056305,0.021268,0.354741,0.165678,0.062581,0.031,0.16515,0.2941,0.428,0.48425,0.529,0.6254,0.7675,1.0826,1.3,1.39775,1.481,1.8098,2.17685,2.47878,0.318883,1.134321,1.278644,147,255,191.989832,184.714286,16.549321,273.880038,0.086199,26,0.550491,2.856737,13.579702,191.989832,9.236489,1.161813,0.816143,0.048109,0.125785,0.088361,163.270004,172,172,178,178,185,185,191,191,204,204,204,217,223,232.339355,37.591181
8,11,"08_11_PSME",412578.2985,5280983.417,274.862494,38.30606,22.983636,4.69798,4.69798,0,244,120,50,0.448,0.663506,320.442497,0,412578.015999818,5280983.75900022,412578.326781,5280983.484552,-32767,38.302627,22.981577,4.69798,4.69798,0,244,120,50,0.448,0.62788,313.986448,0,412578.024780856,5280983.77605214,-0.0282810000353493,-0.0675519993528724,-0.00878103758441284,-0.0170519137755036,0.0732331043966449,0.0191800517326227,8,"T3",2021,"08_B_Alt-2_EVDP","PSME",44.8,"Y",17.3,143,0,0,NA,NA,NA,NA,412578.572849901,5280983.29245568,34.0531852992178,29.3623734207101,-0.274349901010282,0.124544320628047,0.301295794834667,-0.246068900974933,0.192096319980919,0.31217126737934,0.00343300000000113,412578.3126405,5280983.450776,274.862494,38.3043435,412578.020390337,5280983.76752618,313.1668375,4.69798,"H:\T3_DroneLidar\Ba\Plots8_9_36_46\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_8_Tree_11.las","Plot_8_Tree_11",3460,3293,167,0,0,0,0,0,0,0,0,0,3,0.989716,0.047619,0.751235,0.564354,0.759041,1.31625,0.52359,2.104471,0.653591,0.5685,0.762881,0.989716,0.424678,0.065051,0.001755,0.42909,0.153178,0.004133,0.01,0.06095,0.1339,0.2658,0.331,0.3997,0.552,0.8105,1.1468,1.451,1.64725,1.754,2.129601,2.3131,2.73741,0.329905,1.242469,1.420539,134,242,182.745087,176.857143,15.792665,249.408259,0.086419,19,0.710834,3.665309,12.174543,182.745087,8.572421,1.225233,1.471798,0.046909,0.142927,0.17169,153,159,166,172,172,172,178,178,185,185,191,191,204,217,223,35.127994
8,16,"08_16_TSHE",412558.209,5280989.143,266.67567,36.170796,21.702478,6.241178,6.241178,0,244,120,50,0.664,0.899329,299.31927,0,412557.714000018,5280989.42099998,412558.264681,5280989.352552,-32767,36.163962,21.698377,6.241178,6.241178,0,244,120,50,0.664,0.869151,278.95395,0,412557.72279614,5280989.43793174,-0.0556809999980032,-0.209552000276744,-0.00879612198332325,-0.016931751742959,0.216823464091787,0.0190802510211658,8,"T3",2021,"08_B_Alt-2_EVDP","TSHE",66.4,"Y",12.9,225,0,0,NA,NA,NA,NA,412559.039772523,5280987.98717252,46.2514081308099,39.0073620828973,-0.830772523011547,1.15582748036832,1.42341847303087,-0.775091523013543,1.36537948064506,1.57004076227786,0.00683400000000489,412558.2368405,5280989.247776,266.67567,36.167379,412557.718398079,5280989.42946586,302.843049,6.241178,"H:\T3_DroneLidar\Ba\Plots8_9_36_46\Processing\AdjustedTrees\TreeTops_SmallCylinder_normalized\Plot_8_Tree_16.las","Plot_8_Tree_16",4742,4353,385,4,0,0,0,0,0,0,0,0,3,0.992037,0.47619,0.643905,0.414613,0.649073,0.90975,0.624658,2.820837,0.526298,0.447,0.451809,0.992037,0.362292,0.04852,0.029671,0.3652,0.133925,0.081898,0.02,0.10405,0.21,0.406,0.483,0.5603,0.718,0.904,1.0826,1.284,1.39275,1.549,1.902,2.216851,2.813437,0.330679,1.182651,1.33452,147,255,191.618726,189.857143,14.623364,213.842788,0.076315,13,0.357588,4.360266,10.680618,191.618726,7.880275,0.228585,1.606734,0.041125,0.029007,0.203893,159,166,172,178,185,185,191,191,191,198,198,198,210,217,236,34.240015
