"Plot_Number","Tag_Num","Tree.ID","X.Ally","Y.Ally","Elevation.Ally","Total.Height.Ally","Height.To.Crown.Base.Ally","Max.Crown.Diameter.Ally","Min.Crown.Diameter.Ally","Crown.Rotation.Ally","R.Ally","G.Ally","B.Ally","DBH.Ally","Lean.Angle.From.Vertical.Ally","Lean.Azimuth.Ally","Status.Code.Ally","TopX.Ally","TopY.Ally","X.Bob","Y.Bob","Elevation.Bob","Total.Height.Bob","Height.To.Crown.Base.Bob","Max.Crown.Diameter.Bob","Min.Crown.Diameter.Bob","Crown.Rotation.Bob","R.Bob","G.Bob","B.Bob","DBH.Bob","Lean.Angle.From.Vertical.Bob","Lean.Azimuth.Bob","Status.Code.Bob","TopX.Bob","TopY.Bob","diffX","diffY","diffTopX","diffTopY","diff","diffTop","PlotID","Study","Year","Plot_Name","Species","DBH_cm","LiDAR_visible","Distance","Azimuth","Anomaly_Num","Anomaly1","Anomaly2","Anomaly3","Bear_damage_percent","Note","Xfield","Yfield","hanusHt","fvsHt","origdiffX.Ally","origdiffY.Ally","origdiff.Ally","origdiffX.Bob","origdiffY.Bob","origdiff.Bob","heightdiff","aveBaseX","aveBaseY","aveBaseElevation","aveHeight","aveTopX","aveTopY","topElevation","aveCrownDia","DataFile","FileTitle","Total.return.count","Return.1.count","Return.2.count","Return.3.count","Return.4.count","Return.5.count","Return.6.count","Return.7.count","Return.8.count","Return.9.count","Other.return.count","Elev.minimum","Elev.maximum","Elev.mean","Elev.mode","Elev.stddev","Elev.variance","Elev.CV","Elev.IQ","Elev.skewness","Elev.kurtosis","Elev.AAD","Elev.MAD.median","Elev.MAD.mode","Elev.L1","Elev.L2","Elev.L3","Elev.L4","Elev.L.CV","Elev.L.skewness","Elev.L.kurtosis","Elev.P01","Elev.P05","Elev.P10","Elev.P20","Elev.P25","Elev.P30","Elev.P40","Elev.P50","Elev.P60","Elev.P70","Elev.P75","Elev.P80","Elev.P90","Elev.P95","Elev.P99","Canopy.relief.ratio","Elev.SQRT.mean.SQ","Elev.CURT.mean.CUBE","Int.minimum","Int.maximum","Int.mean","Int.mode","Int.stddev","Int.variance","Int.CV","Int.IQ","Int.skewness","Int.kurtosis","Int.AAD","Int.L1","Int.L2","Int.L3","Int.L4","Int.L.CV","Int.L.skewness","Int.L.kurtosis","Int.P01","Int.P05","Int.P10","Int.P20","Int.P25","Int.P30","Int.P40","Int.P50","Int.P60","Int.P70","Int.P75","Int.P80","Int.P90","Int.P95","Int.P99","Profile.area"
7,1,"07_1_PSME",412801.4325,5280085.535,179.459395,28.095728,16.857436,4.400609,4.400609,0,244,120,50,0.404,2.114327,158.285838,0,412801.815999911,5280084.57200021,412801.344559,5280085.538505,-32767,28.097194,16.858316,4.400609,4.400609,0,244,120,50,0.404,2.067643,157.862733,0,412801.72655905,5280084.5995049,0.0879410000052303,-0.00350499991327524,0.089440860261675,-0.0275046862661839,0.0880108203933583,0.0935744369523519,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",40.4,"Y",13.5,198,0,0,NA,NA,NA,"Compasses were acting very strangely here",412802.148270576,5280085.13073703,31.6017726910001,27.5038040976615,-0.71577057603281,0.404262970201671,0.822043834956882,-0.80371157603804,0.407767970114946,0.901236381261439,0.00146599999999708,412801.3885295,5280085.5367525,179.459395,28.096461,412801.77127948,5280084.58575256,207.555856,4.400609,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_normalized\Plot_7_Tree_1.las","Plot_7_Tree_1",3691,3495,185,11,0,0,0,0,0,0,0,0,3,0.800098,0.52381,0.679237,0.461363,0.848943,0.724,1.235601,3.866929,0.524785,0.306,0.29281,0.800098,0.358374,0.101618,0.053994,0.447912,0.283554,0.150663,0.009,0.045,0.101,0.252,0.334,0.404,0.514,0.6,0.703,0.85,1.058,1.375,1.869,2.158,2.833,0.266699,1.049474,1.261263,140,255,191.553779,176.507937,18.757763,351.853679,0.097924,32,0.369131,2.196306,16.231486,191.553779,10.590888,1.087359,0.293307,0.055289,0.102669,0.027694,159,166,172,178,178,178,185,185,198,204,210,210,217,223,230,27.194071
7,12,"07_12_PSME",412810.0935,5280110.135,190.357879,31.630849,18.978509,4.113166,4.113166,0,244,120,50,0.364,1.266309,279.46906,0,412809.403999752,5280110.25000004,412810.037659,5280110.374504,-32767,31.690465,19.014279,4.113166,4.113166,0,244,120,50,0.364,1.319166,262.345827,0,412809.314589281,5280110.27732998,0.0558409999939613,-0.239504000172019,0.0894104710314423,-0.0273299366235733,0.245927597838722,0.0934941589935591,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",36.4,"Y",13,23,0,0,NA,NA,NA,NA,412811.39950467,5280109.9365631,29.2491972673442,25.7072867824231,-1.30600466998294,0.198436900041997,1.32099409586702,-1.3618456699769,0.437940900214016,1.4305299231107,0.0596159999999983,412810.0655795,5280110.254752,190.357879,31.660657,412809.359294517,5280110.26366501,222.018536,4.113166,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_normalized\Plot_7_Tree_12.las","Plot_7_Tree_12",11945,11569,376,0,0,0,0,0,0,0,0,0,3,1.12615,0.285714,0.715213,0.511529,0.635095,1.21,0.275355,2.014591,0.622437,0.606,0.783286,1.12615,0.409873,0.028953,0.004007,0.363959,0.07064,0.009775,0.026,0.13,0.225,0.385,0.497,0.59,0.788,1.069,1.373,1.5958,1.707,1.818,2.083199,2.335,2.712,0.375383,1.334054,1.482305,147,255,190.58694,184.714286,16.829839,283.243466,0.088305,26,0.69559,3.041219,13.382831,190.58694,9.235974,1.54555,1.182195,0.048461,0.16734,0.127999,159,166,172,178,178,178,185,185,191,198,204,204,217,223,236,40.494205
7,15,"07_15_TSHE",412814.3745,5280094.131,183.39595,31.478164,18.886898,4.71788,4.71788,0,244,120,50,0.429,0.805643,114.422528,0,412814.77750008,5280093.94799996,412814.306559,5280094.171504,-32767,31.477376,18.886426,4.71788,4.71788,0,244,120,50,0.429,1.324988,124.617986,0,412814.905559017,5280093.75800399,0.0679409999866039,-0.0405040001496673,-0.128058937087189,0.189995975233614,0.0790983786641923,0.229123464474665,7,"T3",2021,"07_B-Alt-2_EVDP_1","TSHE",42.9,"Y",9.4,115,0,0,NA,NA,NA,NA,412814.839293198,5280093.99738834,35.6367351903014,29.4867482847575,-0.464793198043481,0.133611660450697,0.483616369404385,-0.532734198030084,0.174115660600364,0.560465867843046,0.000788000000000011,412814.3405295,5280094.151252,183.39595,31.47777,412814.841529549,5280093.85300197,214.87372,4.71788,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_normalized\Plot_7_Tree_15.las","Plot_7_Tree_15",4542,4377,165,0,0,0,0,0,0,0,0,0.001,3,0.957395,0.619841,0.698944,0.488522,0.730047,0.83,1.017427,3.371661,0.545711,0.3795,0.353159,0.957395,0.378664,0.086303,0.052779,0.395515,0.227916,0.139381,0.016,0.095,0.186,0.377,0.484,0.552,0.668,0.772,0.9136,1.116,1.314,1.5038,2.0369,2.59695,2.785,0.318905,1.185335,1.379934,153,249,193.388595,185,19.157153,366.996505,0.09906,32,0.436317,2.549635,15.863793,193.388595,10.805912,1.092024,0.863614,0.055877,0.101058,0.07992,159,166,172,178,178,178,185,191,198,204,210,210,217,230,236,33.3475
7,29,"07_29_TSHE",412806.6415,5280093.2795,181.484111,35.107615,21.064569,5.712666,5.712666,0,244,120,50,0.574,1.278075,197.578816,0,412806.405000052,5280092.53300019,412806.531059,5280093.409504,-32767,35.124787,21.074872,5.712666,5.712666,0,244,120,50,0.574,2.157072,176.786831,0,412806.605162101,5280092.08951649,0.110441000026185,-0.130003999918699,-0.200162048044149,0.443483700044453,0.170582104810689,0.486562059435738,7,"T3",2021,"07_B-Alt-2_EVDP_1","TSHE",57.4,"Y",4.9,170,0,0,NA,NA,NA,NA,412807.170876071,5280093.14444201,42.5839735648891,35.7041596279609,-0.529376070946455,0.135057990439236,0.54633294360874,-0.63981707097264,0.265061990357935,0.692548729722695,0.0171719999999951,412806.5862795,5280093.344502,181.484111,35.116201,412806.505081077,5280092.31125834,216.600312,5.712666,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_normalized\Plot_7_Tree_29.las","Plot_7_Tree_29",5654,5571,83,0,0,0,0,0,0,0,0,0,3,0.88431,0.761905,0.677098,0.458461,0.765679,0.55,1.206092,3.696444,0.507189,0.269,0.292905,0.88431,0.354562,0.096182,0.065655,0.400948,0.27127,0.185172,0.006,0.05465,0.18,0.378,0.45,0.522,0.627,0.713,0.796,0.879,1,1.328,2.0964,2.313,2.84347,0.29477,1.113725,1.316537,147,255,198.491157,189.857143,18.359767,337.081029,0.092497,25,0.235086,2.559291,14.793077,198.491157,10.383262,0.570928,1.043861,0.052311,0.054985,0.100533,159,172,178,185,185,191,191,198,204,210,210,217,223,230,236,30.069902
7,30,"07_30_PSME",412799.0855,5280105.1595,186.547295,38.608647,23.165188,6.056868,6.056868,0,244,120,50,0.687,0.707322,224.404961,0,412798.752000182,5280104.81900018,412798.879559,5280105.144505,-32767,38.632763,23.179658,6.056868,6.056868,0,244,120,50,0.687,0.54613,216.107451,0,412798.662558823,5280104.84700475,0.205940999963786,0.0149950003251433,0.0894413592177443,-0.0280045727267861,0.206486187191384,0.0937230645696534,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",68.7,"Y",9.4,315,0,0,NA,NA,NA,NA,412799.673196257,5280104.61680374,45.4417272974084,37.8554280031298,-0.587696256989148,0.542696259915829,0.799941323476718,-0.793637256952934,0.527701259590685,0.953062807477751,0.0241159999999994,412798.9825295,5280105.1520025,186.547295,38.620705,412798.707279503,5280104.83300246,225.168,6.056868,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_normalized\Plot_7_Tree_30.las","Plot_7_Tree_30",3960,3851,109,0,0,0,0,0,0,0,0,0,3,0.956333,0.095238,0.705163,0.497255,0.737361,1.13625,0.611144,2.471613,0.578371,0.5565,0.771762,0.956333,0.39676,0.06076,0.019564,0.414877,0.153139,0.049308,0.009,0.07195,0.128,0.248,0.31375,0.419,0.683,0.867,1.0074,1.2172,1.45,1.714,1.956,2.2314,2.679739,0.318778,1.188151,1.359943,140,249,185.17298,176.333333,19.110469,365.21003,0.103203,32,0.330569,2.187981,16.245103,185.17298,10.83635,0.924994,0.371766,0.05852,0.08536,0.034307,153,159,159,166,172,172,178,178,185,198,204,204,210,217,230,34.63866
7,31,"07_31_PSME",412808.9765,5280106.773,187.744919,33.401859,20.041116,4.251877,4.251877,0,244,120,50,0.383,2.020704,236.444857,0,412807.994999964,5280106.12199998,412808.895559,5280106.953505,-32767,33.300197,19.980119,4.251877,4.251877,0,244,120,50,0.383,2.194882,230.919216,0,412807.905559116,5280106.14950508,0.0809409999637865,-0.180505000054836,0.0894408472813666,-0.0275051072239876,0.197821890901725,0.0935745482800307,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",38.3,"Y",9,23,0,0,NA,NA,NA,NA,412809.836580156,5280106.25454368,30.3822853598965,26.5742292938011,-0.860080156009644,0.518456320278347,1.00425834863253,-0.941021155973431,0.698961320333183,1.17220635696599,0.101662000000005,412808.9360295,5280106.8632525,187.744919,33.351028,412807.95027954,5280106.13575253,221.095947,4.251877,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_normalized\Plot_7_Tree_31.las","Plot_7_Tree_31",10879,10482,395,2,0,0,0,0,0,0,0,0,3,1.001481,0.571429,0.586474,0.343952,0.585607,0.967,0.4367,2.431218,0.498356,0.429,0.412429,1.001481,0.332771,0.033819,0.015214,0.332279,0.101629,0.045718,0.025,0.14,0.318,0.481,0.544,0.5974,0.725,0.878,1.09,1.378,1.511,1.604,1.804,1.98,2.402,0.333827,1.160553,1.285806,147,255,196.71615,189.857143,18.036942,325.331262,0.09169,25,0.229929,2.350902,15.172672,196.71615,10.198164,0.651087,0.665777,0.051842,0.063844,0.065284,159,172,172,185,185,185,191,191,198,210,210,217,223,230,236,40.588452
7,4,"07_4_PSME",412794.3285,5280094.837,179.232925,37.515505,22.509303,5.807024,5.807024,0,244,120,50,0.638,0.775291,226.875916,0,412793.958000059,5280094.49000006,412794.432059,5280095.043505,-32767,37.36867,22.421202,5.807024,5.807024,0,244,120,50,0.638,1.181471,226.998491,0,412793.868558775,5280094.51800479,-0.103559000010137,-0.206504999659956,0.0894412846537307,-0.0280047347769141,0.231016842173158,0.0937230418330252,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",63.8,"Y",11.3,254,0,0,NA,NA,NA,NA,412795.457742836,5280094.85529788,43.327948945825,36.293902642948,-1.12924283597386,-0.0182978799566627,1.12939107266225,-1.02568383596372,0.188207119703293,1.04280834829045,0.146834999999996,412794.3802795,5280094.9402525,179.232925,37.4420875,412793.913279417,5280094.50400242,216.6750125,5.807024,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_normalized\Plot_7_Tree_4.las","Plot_7_Tree_4",7168,7013,155,0,0,0,0,0,0,0,0,0,3,0.612495,0.047619,0.522084,0.272572,0.85239,0.58025,1.277349,4.188939,0.400555,0.282,0.429381,0.612495,0.276275,0.076191,0.038038,0.451065,0.275781,0.137682,0.009,0.046,0.086,0.175,0.22575,0.269,0.366,0.477,0.605,0.731,0.806,0.92,1.504,1.742,2.228,0.204165,0.804788,0.969869,147,249,189.183733,177.761905,18.667166,348.463098,0.098672,26,0.376621,2.426328,15.609856,189.183733,10.545604,1.031773,0.725625,0.055743,0.097839,0.068808,153,166,166,172,178,178,178,185,191,198,204,210,217,223,230,26.422936
7,8,"07_8_PSME",412792.018,5280105.077,186.62884,35.147769,21.088661,5.29534,5.29534,0,244,120,50,0.545,0.697948,191.861089,0,412791.929999937,5280104.65799971,412791.862459,5280105.204504,-32767,35.026725,21.016035,5.29534,5.29534,0,244,120,50,0.545,0.850381,182.419747,0,412791.840511113,5280104.68512177,0.155540999956429,-0.12750400044024,0.0894888247130439,-0.0271220598369837,0.201122531795198,0.0935085871902833,7,"T3",2021,"07_B-Alt-2_EVDP_1","PSME",54.5,"Y",15.4,300,0,0,NA,NA,NA,NA,412792.983208782,5280105.67,39.025206446247,33.0958718818541,-0.965208781999536,-0.593000000342727,1.13281816425034,-1.12074978195596,-0.465495999902487,1.21357595546367,0.121043999999998,412791.9402295,5280105.140752,186.62884,35.087247,412791.885255525,5280104.67156074,221.716087,5.29534,"D:\T3_DroneLidar\Ba\Plot 7\Processing\AdjustedTrees\TreeTops_normalized\Plot_7_Tree_8.las","Plot_7_Tree_8",6434,6186,248,0,0,0,0,0,0,0,0,0.001,3,0.840401,0.477032,0.599045,0.358854,0.712808,0.869,0.87769,3.036182,0.494707,0.343,0.300968,0.840401,0.329342,0.069762,0.030902,0.391886,0.211821,0.093829,0.013,0.0953,0.1896,0.349,0.403,0.455,0.544,0.643,0.791,1.125,1.272,1.399,1.68,2.079401,2.435,0.279894,1.032024,1.190387,140,255,192.495493,183.809524,17.124322,293.242402,0.08896,26,0.48117,2.723297,14.180031,192.495493,9.59314,1.102853,0.767304,0.049836,0.114963,0.079985,159,172,172,178,178,185,185,191,191,204,204,210,217,223,236,33.447007
8,11,"08_11_PSME",412578.2985,5280983.417,274.862494,38.30606,22.983636,4.69798,4.69798,0,244,120,50,0.448,0.663506,320.442497,0,412578.015999818,5280983.75900022,412578.326781,5280983.484552,-32767,38.302627,22.981577,4.69798,4.69798,0,244,120,50,0.448,0.62788,313.986448,0,412578.024780856,5280983.77605214,-0.0282810000353493,-0.0675519993528724,-0.00878103758441284,-0.0170519137755036,0.0732331043966449,0.0191800517326227,8,"T3",2021,"08_B_Alt-2_EVDP","PSME",44.8,"Y",17.3,143,0,0,NA,NA,NA,NA,412578.572849901,5280983.29245568,34.0531852992178,29.3623734207101,-0.274349901010282,0.124544320628047,0.301295794834667,-0.246068900974933,0.192096319980919,0.31217126737934,0.00343300000000113,412578.3126405,5280983.450776,274.862494,38.3043435,412578.020390337,5280983.76752618,313.1668375,4.69798,"D:\T3_DroneLidar\Ba\Plots 8,9,36,46\Processing\AdjustedTrees\TreeTops_normalized\Plot_8_Tree_11.las","Plot_8_Tree_11",5051,4760,291,0,0,0,0,0,0,0,0,0,3,0.789677,0.238095,0.700014,0.490019,0.886456,0.9835,1.006063,2.9254,0.582764,0.344,0.269905,0.789677,0.376934,0.106604,0.028276,0.477327,0.282819,0.075014,0.007,0.053,0.106,0.216,0.26,0.301,0.392,0.508,0.676,1.028,1.2435,1.494,1.878,2.2295,2.68,0.263226,1.055231,1.259523,134,249,181.996832,177.809524,15.45828,238.958406,0.084937,19,0.685763,3.840107,11.906278,181.996832,8.380275,1.075024,1.481686,0.046046,0.12828,0.176806,153,159,166,172,172,172,178,178,185,185,191,191,204,217,223,28.433024
8,16,"08_16_TSHE",412558.209,5280989.143,266.67567,36.170796,21.702478,6.241178,6.241178,0,244,120,50,0.664,0.899329,299.31927,0,412557.714000018,5280989.42099998,412558.264681,5280989.352552,-32767,36.163962,21.698377,6.241178,6.241178,0,244,120,50,0.664,0.869151,278.95395,0,412557.72279614,5280989.43793174,-0.0556809999980032,-0.209552000276744,-0.00879612198332325,-0.016931751742959,0.216823464091787,0.0190802510211658,8,"T3",2021,"08_B_Alt-2_EVDP","TSHE",66.4,"Y",12.9,225,0,0,NA,NA,NA,NA,412559.039772523,5280987.98717252,46.2514081308099,39.0073620828973,-0.830772523011547,1.15582748036832,1.42341847303087,-0.775091523013543,1.36537948064506,1.57004076227786,0.00683400000000489,412558.2368405,5280989.247776,266.67567,36.167379,412557.718398079,5280989.42946586,302.843049,6.241178,"D:\T3_DroneLidar\Ba\Plots 8,9,36,46\Processing\AdjustedTrees\TreeTops_normalized\Plot_8_Tree_16.las","Plot_8_Tree_16",6208,5754,450,4,0,0,0,0,0,0,0,0,3,0.873065,0,0.63169,0.399032,0.723532,0.904,0.786026,3.094695,0.515415,0.435,0.749,0.873065,0.351755,0.059985,0.029068,0.402897,0.170531,0.082638,0.013,0.064,0.134,0.296,0.364,0.444,0.591,0.749,0.946,1.1509,1.268,1.3806,1.808,2.08565,2.642604,0.291022,1.077595,1.24042,140,255,189.112274,189.285714,15.219032,231.618937,0.080476,20,0.3097,3.996682,11.569706,189.112274,8.305434,0.190364,1.469635,0.043918,0.02292,0.176949,153,166,172,178,178,185,185,191,191,198,198,198,210,217,230,31.978429
